timestamp,latitude,longitude,altitude,mean_snr,sat_count,mean_elevation,mean_azimuth,roll,pitch,yaw,is_inclined
1725105224,18.5633983,73.8332167,513.9,,0,,,60.0,-64.0,99.0,1
1725105225,18.5633983,73.8332167,513.9,22.78421052631579,95,32.126315789473686,156.34736842105264,169.0,-72.0,171.0,1
1725105226,18.5633983,73.8332167,513.9,22.055319148936167,94,32.37234042553192,156.63829787234042,-177.0,-60.0,189.0,1
1725105227,18.5633983,73.8332167,513.9,20.88421052631579,95,32.189473684210526,157.01052631578946,-178.0,-48.0,187.0,1
1725105228,18.5633983,73.8332167,513.9,19.546315789473685,95,31.726315789473684,156.02105263157895,-178.0,-46.0,187.0,1
1725105229,18.5633983,73.8332167,513.9,19.702105263157897,95,31.652631578947368,155.43157894736842,-177.0,-43.0,187.0,1
1725105230,18.5633983333,73.8332166667,513.9,19.361538461538462,91,32.05494505494506,152.8021978021978,-177.0,-38.0,186.0,1
1725105231,18.5633983,73.8332167,513.9,18.794505494505493,91,32.05494505494506,152.8021978021978,-177.0,-38.0,184.0,1
1725105232,18.5633983,73.8332167,513.9,18.577173913043477,92,31.967391304347824,154.6304347826087,-177.0,-42.0,184.0,1
1725105233,18.5633983,73.8332167,513.9,18.606521739130436,92,31.72826086956522,154.8804347826087,-177.0,-43.0,183.0,1
1725105234,18.5633983,73.8332167,513.9,18.729347826086954,92,31.73913043478261,154.8804347826087,-179.0,-37.0,181.0,1
1725105235,18.5633983333,73.8332166667,513.9,20.861290322580647,93,32.096774193548384,156.55913978494624,179.0,-37.0,179.0,1
1725105236,18.5633983,73.8332167,513.9,21.570526315789472,95,31.810526315789474,158.4842105263158,179.0,-37.0,179.0,1
1725105237,18.5633983333,73.8332166667,513.9,21.77319587628866,97,31.54639175257732,159.02061855670104,179.0,-37.0,180.0,1
1725105238,18.5633983,73.8332167,513.9,22.3875,96,31.604166666666668,157.33333333333334,179.0,-37.0,180.0,1
1725105239,18.5633983,73.8332167,513.9,22.610416666666666,96,31.21875,155.78125,179.0,-37.0,180.0,1
1725105240,18.5633983,73.8332167,513.9,22.537499999999998,96,31.145833333333332,155.66666666666666,179.0,-37.0,180.0,1
1725105241,18.5633983333,73.8332166667,513.9,22.68191489361702,94,31.393617021276597,154.19148936170214,179.0,-37.0,180.0,1
1725105242,18.5633983,73.8332167,513.9,22.665263157894735,95,31.021052631578947,154.05263157894737,179.0,-37.0,180.0,1
1725105243,18.5633983333,73.8332166667,513.9,22.71157894736842,95,31.021052631578947,154.05263157894737,179.0,-37.0,179.0,1
1725105244,18.5633983,73.8332167,513.9,22.55744680851064,94,31.21276595744681,154.31914893617022,179.0,-37.0,180.0,1
1725105245,18.5633983,73.8332167,513.9,23.065591397849463,93,31.483870967741936,154.90322580645162,179.0,-37.0,179.0,1
1725105246,18.5633983,73.8332167,513.9,23.646236559139783,93,31.989247311827956,154.34408602150538,179.0,-37.0,179.0,1
1725105247,18.5633983333,73.8332166667,513.9,23.447311827956987,93,31.989247311827956,154.34408602150538,179.0,-37.0,179.0,1
1725105248,18.5633983333,73.8332166667,513.9,23.492553191489364,94,32.287234042553195,154.38297872340425,179.0,-37.0,180.0,1
1725105249,18.5633983,73.8332167,513.9,23.488297872340425,94,32.287234042553195,154.38297872340425,179.0,-37.0,180.0,1
1725105250,18.5633983333,73.8332166667,513.9,23.524468085106385,94,32.297872340425535,154.37234042553192,179.0,-37.0,180.0,1
1725105251,18.5633983333,73.8332166667,513.9,23.5,94,32.308510638297875,154.38297872340425,179.0,-37.0,180.0,1
1725105252,18.5633983,73.8332167,513.9,23.571578947368423,95,32.31578947368421,156.25263157894736,179.0,-37.0,180.0,1
1725105253,18.5633983333,73.8332166667,513.9,23.632631578947368,95,32.31578947368421,156.25263157894736,179.0,-37.0,180.0,1
1725105254,18.5633983333,73.8332166667,513.9,23.85473684210526,95,32.31578947368421,156.25263157894736,179.0,-37.0,180.0,1
1725105255,18.5633983333,73.8332166667,513.9,23.74526315789474,95,32.31578947368421,156.25263157894736,179.0,-37.0,180.0,1
1725105256,18.5633983,73.8332167,513.9,23.83894736842105,95,32.242105263157896,156.43157894736842,179.0,-37.0,180.0,1
1725105257,18.5633983,73.8332167,513.9,23.736842105263158,95,32.242105263157896,156.43157894736842,179.0,-37.0,179.0,1
1725105258,18.5633983,73.8332167,513.9,23.869473684210526,95,32.16842105263158,156.22105263157894,179.0,-37.0,180.0,1
1725105259,18.5633983,73.8332167,513.9,23.64526315789474,95,32.16842105263158,156.22105263157894,179.0,-37.0,180.0,1
1725105260,18.5633983,73.8332167,513.9,23.583157894736843,95,32.463157894736845,156.02105263157895,179.0,-37.0,180.0,1
1725105261,18.5633983,73.8332167,513.9,23.72421052631579,95,32.463157894736845,156.02105263157895,179.0,-37.0,180.0,1
1725105262,18.5633983,73.8332167,513.9,23.67263157894737,95,32.463157894736845,156.02105263157895,179.0,-37.0,180.0,1
1725105263,18.5633983,73.8332167,513.9,23.73578947368421,95,32.463157894736845,156.02105263157895,179.0,-37.0,180.0,1
1725105264,18.5633983333,73.8332166667,513.9,23.779999999999998,95,32.463157894736845,156.02105263157895,179.0,-37.0,180.0,1
1725105265,18.5633983,73.8332167,513.9,23.778947368421054,95,32.463157894736845,156.01052631578946,179.0,-37.0,180.0,1
1725105266,18.5633983,73.8332167,513.9,23.806315789473683,95,32.23157894736842,156.25263157894736,179.0,-37.0,179.0,1
1725105267,18.5633983,73.8332167,513.9,23.736842105263158,95,32.23157894736842,156.25263157894736,179.0,-37.0,179.0,1
1725105268,18.5633983,73.8332167,513.9,23.771578947368422,95,31.821052631578947,157.6315789473684,179.0,-37.0,180.0,1
1725105269,18.5633983,73.8332167,513.9,23.75263157894737,95,31.821052631578947,157.6315789473684,179.0,-37.0,180.0,1
1725105270,18.5633983,73.8332167,513.9,23.766315789473687,95,31.431578947368422,156.06315789473683,179.0,-37.0,179.0,1
1725105271,18.5633983333,73.8332166667,513.9,23.667368421052632,95,31.431578947368422,156.06315789473683,179.0,-37.0,180.0,1
1725105272,18.5633983,73.8332167,513.9,23.606315789473683,95,31.431578947368422,156.05263157894737,179.0,-37.0,180.0,1
1725105273,18.5633983,73.8332167,513.9,23.633684210526315,95,31.45263157894737,155.98947368421054,179.0,-37.0,180.0,1
1725105274,18.5633983,73.8332167,513.9,23.617894736842103,95,31.473684210526315,156.01052631578946,179.0,-37.0,180.0,1
1725105275,18.5633983333,73.8332166667,513.9,23.62,95,31.08421052631579,153.37894736842105,179.0,-37.0,180.0,1
1725105276,18.5633983,73.8332167,513.9,23.50736842105263,95,31.08421052631579,153.37894736842105,179.0,-37.0,180.0,1
1725105277,18.5633983,73.8332167,513.9,23.609473684210528,95,30.894736842105264,150.6315789473684,179.0,-37.0,180.0,1
1725105278,18.5633983333,73.8332166667,513.9,23.54315789473684,95,30.905263157894737,150.62105263157895,179.0,-37.0,180.0,1
1725105279,18.5633983,73.8332167,513.9,23.43894736842105,95,30.8,149.6421052631579,179.0,-37.0,180.0,1
1725105280,18.5633983,73.8332167,513.9,23.39578947368421,95,30.8,149.6421052631579,179.0,-37.0,180.0,1
1725105281,18.5633983,73.8332167,513.9,23.255789473684214,95,30.8,149.6421052631579,179.0,-37.0,180.0,1
1725105282,18.5633983,73.8332167,513.9,23.44105263157895,95,30.8,149.6421052631579,179.0,-37.0,180.0,1
1725105283,18.5633983333,73.8332166667,513.9,23.442105263157895,95,30.8,149.6421052631579,179.0,-37.0,180.0,1
1725105284,18.5633983,73.8332167,513.9,23.64421052631579,95,30.8,149.6421052631579,179.0,-37.0,179.0,1
1725105285,18.5633983,73.8332167,513.9,23.54105263157895,95,31.010526315789473,152.4,179.0,-37.0,179.0,1
1725105286,18.5633983,73.8332167,513.9,23.58,95,31.010526315789473,152.3578947368421,179.0,-37.0,180.0,1
1725105287,18.5633983,73.8332167,513.9,23.637894736842103,95,31.010526315789473,152.3578947368421,179.0,-37.0,180.0,1
1725105288,18.5633983,73.8332167,513.9,23.56736842105263,95,31.705263157894738,154.56842105263158,179.0,-37.0,180.0,1
1725105289,18.5633983,73.8332167,513.9,23.544210526315787,95,31.705263157894738,154.56842105263158,179.0,-37.0,180.0,1
1725105290,18.5633983333,73.8332166667,513.9,23.570526315789472,95,32.38947368421053,156.16842105263157,179.0,-37.0,179.0,1
1725105291,18.5633983,73.8332167,513.9,23.68631578947368,95,32.37894736842105,156.1578947368421,179.0,-37.0,180.0,1
1725105292,18.5633983,73.8332167,513.9,23.282105263157895,95,32.37894736842105,156.1578947368421,179.0,-37.0,180.0,1
1725105293,18.5633983333,73.8332166667,513.9,23.61578947368421,95,32.37894736842105,156.1578947368421,179.0,-37.0,180.0,1
1725105294,18.5633983333,73.8332166667,513.9,23.677894736842106,95,32.37894736842105,156.1578947368421,179.0,-37.0,180.0,1
1725105295,18.5633983333,73.8332166667,513.9,23.61578947368421,95,32.37894736842105,156.1578947368421,179.0,-37.0,180.0,1
1725105296,18.5633983,73.8332167,513.9,23.489473684210527,95,32.357894736842105,156.13684210526316,179.0,-37.0,180.0,1
1725105297,18.5633983,73.8332167,513.9,23.570526315789472,95,32.28421052631579,156.29473684210527,179.0,-37.0,180.0,1
1725105298,18.5633983333,73.8332166667,513.9,23.667368421052632,95,32.28421052631579,156.29473684210527,179.0,-37.0,180.0,1
1725105299,18.5633983333,73.8332166667,513.9,23.45263157894737,95,32.21052631578947,156.07368421052632,179.0,-37.0,180.0,1
