timestamp,latitude,longitude,altitude,mean_snr,sat_count,mean_elevation,mean_azimuth,roll,pitch,yaw,is_inclined,source_file
1725101145,18.5633856,73.833207,509.4,,0,,,83.0,-3.0,165.0,1,angle_0
1725101146,18.5633857,73.8332065,509.4,21.03936170212766,94,32.180851063829785,149.79787234042553,178.0,5.0,180.0,1,angle_0
1725101147,18.5633853,73.8332065,509.4,17.564893617021276,94,32.180851063829785,149.81914893617022,179.0,1.0,178.0,1,angle_0
1725101148,18.563385,73.8332063,509.4,15.695652173913045,92,31.956521739130437,145.92391304347825,179.0,1.0,178.0,1,angle_0
1725101149,18.5633846,73.8332065,509.4,14.273563218390803,87,32.41379310344828,141.83908045977012,179.0,1.0,178.0,1,angle_0
1725101150,18.5633848,73.8332073,509.4,14.448837209302324,86,32.56976744186046,142.63953488372093,179.0,1.0,178.0,1,angle_0
1725101151,18.5633848,73.8332071,509.4,14.836781609195402,87,32.632183908045974,144.7816091954023,179.0,1.0,178.0,1,angle_0
1725101152,18.5633847,73.8332066,509.4,15.068539325842696,89,32.58426966292135,147.5505617977528,179.0,1.0,178.0,1,angle_0
1725101153,18.5633853,73.8332062,509.4,14.851685393258428,89,32.58426966292135,147.5505617977528,179.0,1.0,178.0,1,angle_0
1725101154,18.5633851,73.8332058,509.4,14.53111111111111,90,32.67777777777778,148.54444444444445,179.0,1.0,178.0,1,angle_0
1725101155,18.5633854,73.8332066,509.4,14.536666666666664,90,32.67777777777778,148.54444444444445,179.0,1.0,178.0,1,angle_0
1725101156,18.5633851,73.8332067,509.4,14.395505617977529,89,33.640449438202246,151.02247191011236,179.0,1.0,178.0,1,angle_0
1725101157,18.563385,73.8332067,509.4,14.45909090909091,88,33.64772727272727,149.10227272727272,179.0,1.0,179.0,1,angle_0
1725101158,18.563385,73.8332067,509.4,14.613636363636363,88,33.64772727272727,149.10227272727272,179.0,1.0,179.0,1,angle_0
1725101159,18.563385,73.8332067,509.4,14.273863636363636,88,33.64772727272727,149.10227272727272,179.0,1.0,179.0,1,angle_0
1725101160,18.563385,73.8332067,509.4,14.693258426966292,89,33.640449438202246,151.02247191011236,179.0,1.0,179.0,1,angle_0
1725101161,18.563385,73.8332067,509.4,13.105617977528093,89,34.30337078651685,153.57303370786516,179.0,1.0,179.0,1,angle_0
1725101162,18.563385,73.8332067,509.4,13.568539325842696,89,34.95505617977528,155.04494382022472,179.0,1.0,178.0,1,angle_0
1725101163,18.563385,73.8332067,509.4,13.84494382022472,89,34.95505617977528,155.04494382022472,179.0,1.0,179.0,1,angle_0
1725101164,18.563385,73.8332067,509.4,14.266292134831462,89,34.95505617977528,155.04494382022472,179.0,1.0,179.0,1,angle_0
1725101165,18.563385,73.8332067,509.4,14.267415730337078,89,34.752808988764045,155.42696629213484,179.0,1.0,179.0,1,angle_0
1725101166,18.563385,73.8332067,509.4,14.53111111111111,90,34.67777777777778,157.35555555555555,179.0,1.0,179.0,1,angle_0
1725101167,18.563385,73.8332067,509.4,14.071111111111112,90,34.67777777777778,157.35555555555555,179.0,1.0,179.0,1,angle_0
1725101168,18.563385,73.8332067,509.4,14.28888888888889,90,34.67777777777778,157.35555555555555,179.0,1.0,179.0,1,angle_0
1725101169,18.563385,73.8332067,509.4,14.334444444444443,90,34.67777777777778,157.35555555555555,179.0,1.0,179.0,1,angle_0
1725101170,18.563385,73.8332067,509.4,14.628888888888888,90,34.67777777777778,157.35555555555555,179.0,1.0,179.0,1,angle_0
1725101171,18.563385,73.8332067,509.4,14.582222222222224,90,34.43333333333333,157.61111111111111,179.0,1.0,178.0,1,angle_0
1725101172,18.563385,73.8332067,509.4,14.596666666666668,90,34.0,159.06666666666666,179.0,1.0,179.0,1,angle_0
1725101173,18.563385,73.8332067,509.4,14.685555555555556,90,34.0,159.06666666666666,179.0,1.0,179.0,1,angle_0
1725101174,18.563385,73.8332067,509.4,14.65,90,33.67777777777778,156.36666666666667,179.0,1.0,178.0,1,angle_0
1725101175,18.563385,73.8332067,509.4,14.707777777777778,90,33.67777777777778,156.36666666666667,179.0,1.0,178.0,1,angle_0
1725101176,18.563385,73.8332067,509.4,14.677777777777775,90,33.666666666666664,156.35555555555555,179.0,1.0,178.0,1,angle_0
1725101177,18.563385,73.8332067,509.4,14.557777777777778,90,33.67777777777778,156.35555555555555,179.0,1.0,178.0,1,angle_0
1725101178,18.563385,73.8332067,509.4,14.597777777777775,90,33.68888888888889,156.35555555555555,179.0,1.0,178.0,1,angle_0
1725101179,18.563385,73.8332067,509.4,14.645054945054946,91,33.59340659340659,156.26373626373626,179.0,1.0,178.0,1,angle_0
1725101180,18.563385,73.8332067,509.4,15.569230769230767,91,33.59340659340659,156.26373626373626,179.0,1.0,178.0,1,angle_0
1725101181,18.563385,73.8332067,509.4,15.603296703296705,91,33.2967032967033,154.53846153846155,179.0,1.0,178.0,1,angle_0
1725101182,18.563385,73.8332067,509.4,15.869565217391305,92,32.93478260869565,150.79347826086956,179.0,1.0,178.0,1,angle_0
1725101183,18.563385,73.8332067,509.4,16.04021739130435,92,32.93478260869565,150.79347826086956,179.0,1.0,178.0,1,angle_0
1725101184,18.563385,73.8332067,509.4,16.25161290322581,93,32.516129032258064,150.65591397849462,179.0,1.0,178.0,1,angle_0
1725101185,18.563385,73.8332067,509.4,16.261290322580646,93,32.516129032258064,150.65591397849462,179.0,1.0,178.0,1,angle_0
1725101186,18.563385,73.8332066667,509.4,16.123655913978496,93,32.516129032258064,150.65591397849462,179.0,1.0,178.0,1,angle_0
1725101187,18.563385,73.8332067,509.4,16.158064516129034,93,32.516129032258064,150.65591397849462,179.0,1.0,178.0,1,angle_0
1725101188,18.563385,73.8332067,509.4,16.174193548387098,93,32.516129032258064,150.6451612903226,179.0,1.0,178.0,1,angle_0
